ID	AFR	EUR	AMR
RP-1847_10045616	0	2	0
RP-1847_10045618	1	1	0
RP-1847_10045704	1	1	0
RP-1847_10045792	0	2	0
RP-1847_10045804	0	2	0
RP-1847_10045805	2	0	0
RP-1847_10045863	2	0	0
RP-1847_10045902	2	0	0
RP-1847_10045917	2	0	0
RP-1847_10045935	0	2	0
RP-1847_10046051	0	2	0
RP-1847_10046052	0	0	2
RP-1847_10046059	2	0	0
RP-1847_10046105	2	0	0
RP-1847_10046155	0	1	1
RP-1847_10046263	0	2	0
RP-1847_10046377	0	1	1
RP-1847_10046382	2	0	0
RP-1847_10046391	0	2	0
RP-1847_10046441	2	0	0
RP-1847_10046500	2	0	0
RP-1847_10046511	1	1	0
RP-1847_10046569	2	0	0
RP-1847_10046581	2	0	0
RP-1847_10046687	0	2	0
RP-1847_10046701	0	1	1
RP-1847_10046746	2	0	0
RP-1847_10046838	0	2	0
RP-1847_10046872	1	1	0
RP-1847_10046912	0	2	0
RP-1847_10046959	2	0	0
RP-1847_10047128	0	2	0
RP-1847_10047167	2	0	0
RP-1847_10047200	0	2	0
RP-1847_10047207	1	1	0
RP-1847_10047270	0	2	0
RP-1847_10047302	2	0	0
RP-1847_10047323	0	1	1
RP-1847_10047337	2	0	0
RP-1847_10047344	1	1	0
RP-1847_10047352	0	2	0
RP-1847_10047380	2	0	0
RP-1847_10047393	0	1	0
RP-1847_10047395	2	0	0
RP-1847_10047403	1	0	0
RP-1847_10047410	0	2	0
RP-1847_10047529	0	2	0
RP-1847_10047563	0	2	0
RP-1847_10047621	2	0	0
RP-1847_10047730	2	0	0
RP-1847_10047745	2	0	0
RP-1847_10047790	0	2	0
RP-1847_10047796	2	0	0
RP-1847_10047946	1	0	1
RP-1847_10047952	2	0	0
RP-1847_10047975	0	2	0
RP-1847_10048028	0	0	2
RP-1847_10048035	0	1	1
RP-1847_10048039	2	0	0
RP-1847_10048040	0	1	1
RP-1847_10048041	0	0	2
RP-1847_10048045	0	0	2
RP-1847_10048049	0	0	2
RP-1847_10048057	0	0	2
RP-1847_10048063	0	0	2
RP-1847_10048069	0	1	1
RP-1847_10048077	1	0	1
RP-1847_10048079	0	2	0
RP-1847_10048091	0	2	0
RP-1847_10048133	0	1	1
RP-1847_10048336	1	1	0
RP-1847_10048338	2	0	0
RP-1847_10048444	0	2	0
RP-1847_10048497	2	0	0
RP-1847_10048542	0	2	0
RP-1847_10048554	0	2	0
